Real Time,Time [s],Process Value(A) [°C],Set Value(A) [°C],Hot Power(A) [%],Cool Power(A) [%],Process Value(B) [°C],Set Value(B) [°C],Hot Power(B) [%],Cool Power(B) [%],Ch.1[SCCM],Ch.2[SCCM],Ch.3[SCCM],Ch.4[SCCM],Ch.5[SCCM],Ch.6[SCCM],Ch.7[SCCM],Ch.8[SCCM],Ch.9[SCCM],Ch.10[SCCM],Humidity(A) [%RH],Temperature(A) [°C],Humidity(B) [%RH],Temperature(B) [°C],Wet gas [SCCM],Dry gas [SCCM],Gauge 1 [TORR],Gauge 2 [TORR],0 [SCCM],0 [SCCM],Valve [%],Voltage [V],Current [A],Resistance [Ω]
2026-03-26 09:28:02.069083,72,29.0,29.0,9.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:28:03.069830,73,29.0,30.0,9.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:28:04.069638,74,30.0,30.0,9.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:28:05.070389,75,30.0,30.0,9.6,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:28:06.070166,76,30.0,30.0,9.6,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:28:07.069941,77,30.0,30.0,9.6,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:28:08.069722,78,30.0,30.0,9.6,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:28:09.069497,79,30.0,31.0,9.6,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:28:10.069309,80,31.0,31.0,9.6,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:28:11.070053,81,31.0,31.0,9.7,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
